site_id,country,text_color,bg_color,font_size_px,font_weight,contrast_ratio,L_text,a_text,b_text,L_bg,a_bg,b_bg,es_texto_grande,clasificacion,cumple_aa,cluster
U0001,Brazil,"rgb(119, 119, 119)","rgb(248, 248, 248)",14.0,700,4.216593460485307,50.03443879253823,0.0029946048492601,-0.0059249881377176,97.5790052971692,0.0051507099364522,-0.010190959011469,False,falla,False,4
U0001,Brazil,"rgb(119, 119, 119)","rgb(248, 248, 248)",14.0,700,4.216593460485307,50.03443879253823,0.0029946048492601,-0.0059249881377176,97.5790052971692,0.0051507099364522,-0.010190959011469,False,falla,False,4
U0002,Argentina,"rgb(255, 255, 255)","rgb(78, 176, 144)",12.0,900,2.64590357410387,100.0,0.0052604999583039,-0.0104081845252679,65.50188550226632,-36.58847301460422,7.782996656133045,False,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",12.0,400,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,False,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",12.0,400,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,False,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
U0002,Argentina,"rgb(255, 255, 255)","rgb(242, 242, 242)",60.8,500,1.1194947432057414,100.0,0.0052604999583039,-0.0104081845252679,95.49355853071668,0.0050561367241908,-0.0100038407807812,True,falla,False,0
