k,silhouette
2,0.8037747931498956
3,0.821056352801469
4,0.8309684217555346
5,0.8506750163748661
6,0.8541111867962997
7,0.8609411028325784
8,0.8619730647839827
9,0.8727267152931696
10,0.8747023329546725
11,0.8779802524558714
12,0.8788255572520637
13,0.8772181853591965
14,0.8800646606110261
15,0.8667912527640755
16,0.8750186371318255
17,0.8614101570786803
18,0.8683997094854775
19,0.868272970729863
20,0.868759500345834
