site_id,country,n_pares,mediana_ratio,pct_falla_aa,tiene_fallo_critico,axe_color_contrast_violations,axe_color_contrast_passes
U0001,Brazil,105,4.556941198990868,1.9047619047619049,True,10,115
U0002,Argentina,177,1.1194947432057414,58.19209039548022,True,38,172
U0004,Paraguay,129,3.644246724901815,58.91472868217055,True,44,98
U0006,Nicaragua,153,13.198392277900538,24.18300653594771,True,13,184
U0008,Ecuador,74,11.69104849658141,9.45945945945946,True,5,82
U0009,Argentina,103,5.698620790007701,40.77669902912621,True,58,107
U0010,Dominican Republic,195,10.593145269833649,13.846153846153847,True,30,106
U0011,Chile,132,11.107961964654422,16.666666666666664,True,31,202
U0015,Cuba,88,14.964451286549552,11.363636363636363,True,7,86
U0016,Guatemala,256,1.080711823935424,53.90625,True,9,212
U0019,Costa Rica,71,7.780599082842856,1.4084507042253522,True,6,90
U0020,Guatemala,81,7.065529146034068,23.456790123456788,True,18,114
U0021,Chile,296,10.14685018778427,11.14864864864865,True,0,2
U0025,Panama,138,12.743571339481512,0.7246376811594203,True,0,157
U0027,Argentina,190,7.525629425880513,11.052631578947368,True,9,270
U0029,Honduras,136,12.421894022120345,28.676470588235293,True,32,178
U0030,Honduras,164,13.041060030800535,18.29268292682927,True,18,212
U0031,Ecuador,419,1.0,84.00954653937947,True,8,153
U0032,Paraguay,35,8.192021722622771,8.571428571428571,True,3,63
U0033,Brazil,246,5.363701320561146,6.504065040650407,True,128,274
U0034,Colombia,112,12.63465434445799,8.928571428571429,True,16,207
U0035,Brazil,131,4.282994140518332,76.33587786259542,True,105,126
U0036,Ecuador,105,14.727270344873023,37.142857142857146,True,7,104
U0037,Dominican Republic,87,4.758842787868666,41.37931034482759,True,10,75
U0038,Panama,37,7.898040728413126,29.72972972972973,True,0,56
U0039,El Salvador,203,16.23963401022834,7.8817733990147785,True,39,330
U0041,Costa Rica,344,5.74183648145415,13.372093023255813,True,72,104
U0043,Ecuador,189,10.29773228817533,3.7037037037037033,True,0,279
U0044,Brazil,347,17.645762125602435,31.12391930835735,True,19,306
U0047,Panama,57,6.5122131881106124,12.280701754385964,True,23,81
U0048,Chile,111,15.485262797317638,13.513513513513514,True,1,149
U0050,Peru,98,9.739769120526203,20.408163265306122,True,9,125
U0052,Dominican Republic,157,7.990654195740128,42.038216560509554,True,2,139
U0053,Mexico,116,12.52356418517259,16.379310344827587,True,10,154
U0054,Cuba,69,6.322532792061276,34.78260869565217,True,52,90
U0057,Mexico,227,3.78742247268155,63.87665198237885,True,32,108
U0058,Nicaragua,8,13.008985262399184,0.0,False,0,16
U0060,Peru,264,6.079958131580595,19.318181818181817,True,22,200
U0061,Honduras,297,12.924583879277291,25.925925925925924,True,29,103
U0064,Peru,423,7.3807124272722175,42.31678486997636,True,37,180
U0065,Costa Rica,297,9.397615840239814,2.6936026936026933,True,0,560
U0069,Mexico,198,12.63465434445799,45.45454545454545,True,28,185
U0070,Paraguay,52,11.838689213867267,34.61538461538461,True,0,78
U0071,Honduras,2,21.0,0.0,False,0,4
U0072,Nicaragua,74,11.237058310051756,25.675675675675674,True,7,149
U0073,Costa Rica,92,13.65507120727791,42.391304347826086,True,11,94
